design,material,dT_K,feasible,exit_miss_mm,throughput,reason
drone_25m,aluminium,8.0,True,0.1295931747818548,0.053130250170578736,
drone_25m,aluminium,10.0,True,0.16198877036320805,0.04513122171441561,
drone_25m,aluminium,12.0,True,0.19438239002571017,0.03697203643313228,
drone_25m,aluminium,14.0,True,0.22677357395474548,0.02921028727611986,
drone_25m,aluminium,16.0,True,0.2591618623880172,0.022257197097078924,
drone_25m,aluminium,18.0,True,0.2915467956248826,0.016356267687668354,
drone_25m,aluminium,20.0,True,0.32392791403113225,0.011592706511862111,
drone_25m,aluminium,22.0,False,0.35630475804522843,0.00792466764280318,exit miss > 0.35 mm
drone_25m,aluminium,24.0,False,0.3886768681837585,0.0052249536218988216,exit miss > 0.35 mm
drone_25m,aluminium,26.0,False,0.4210437850491846,0.003322763737774824,exit miss > 0.35 mm
drone_25m,aluminium,28.0,False,0.4534050493335148,0.0020381844652866085,exit miss > 0.35 mm
drone_25m,aluminium,30.0,False,0.4857602018267299,0.0012059429606965204,exit miss > 0.35 mm
drone_25m,invar,-30.0,True,0.02471060124947553,0.07026821921722103,
drone_25m,invar,-28.0,True,0.02306322237398505,0.07036382543616641,
drone_25m,invar,-26.0,True,0.021415841814778,0.07045295502061999,
drone_25m,invar,-24.0,True,0.019768459632397362,0.07053558303263062,
drone_25m,invar,-22.0,True,0.018121075887561018,0.07061168633474707,
drone_25m,invar,-20.0,True,0.016473690639859474,0.07068124360087728,
drone_25m,invar,-18.0,True,0.01482630395061066,0.07074423532612752,
drone_25m,invar,-16.0,True,0.013178915880105458,0.07080064383604577,
drone_25m,invar,-14.0,True,0.011531526489130637,0.07085045329482755,
drone_25m,invar,-12.0,True,0.009884135837017055,0.0708936497127861,
drone_25m,invar,-10.0,True,0.008236743985441245,0.07093022095279833,
drone_25m,invar,-8.0,True,0.006589350994510026,0.07096015673610176,
drone_25m,invar,-6.0,True,0.004941956925091962,0.07098344864705185,
drone_25m,invar,-4.0,True,0.003294561837642535,0.07100009013709196,
drone_25m,invar,-2.0,True,0.0016471657958788159,0.07101007652780023,
drone_25m,invar,0.0,True,2.9373138269172973e-07,0.07101340501310824,
drone_25m,invar,2.0,True,0.0016476289497636464,0.07101007466059892,
drone_25m,invar,4.0,True,0.0032950275030556734,0.07100008641194473,
drone_25m,invar,6.0,True,0.0049424267757925975,0.07098344308246818,
drone_25m,invar,8.0,True,0.006589826704768526,0.07096014935982012,
drone_25m,invar,10.0,True,0.0082372272291864,0.0709302118017699,
drone_25m,invar,12.0,True,0.009884628288726487,0.07089363883312494,
drone_25m,invar,14.0,True,0.011532029822542303,0.07085044074179622,
drone_25m,invar,16.0,True,0.013179431770260527,0.07080062967395097,
drone_25m,invar,18.0,True,0.014826834071046605,0.07074421962834228,
drone_25m,invar,20.0,True,0.01647423666525605,0.0706812264496918,
drone_25m,invar,22.0,True,0.018121639490992648,0.070611667821397,
drone_25m,invar,24.0,True,0.01976904248921869,0.0705355632570523,
drone_25m,invar,26.0,True,0.02141644559856536,0.07045293409153493,
drone_25m,invar,28.0,True,0.02306384875903812,0.07036380347087014,
drone_25m,invar,30.0,True,0.024711251909691805,0.07026819634153254,
drone_16cm,aluminium,-30.0,False,1.101720319991593,0.0,never returns to hole
drone_16cm,aluminium,-28.0,False,1.028858835386295,0.0,never returns to hole
drone_16cm,aluminium,-26.0,False,0.9558819623007314,0.0,never returns to hole
drone_16cm,aluminium,-24.0,False,0.8827969609208846,0.0,never returns to hole
drone_16cm,aluminium,-22.0,False,0.8096111034109098,0.0,never returns to hole
drone_16cm,aluminium,-20.0,False,0.7363316732127216,0.0,never returns to hole
drone_16cm,aluminium,-18.0,False,0.662965964341817,0.0,never returns to hole
drone_16cm,aluminium,-16.0,False,0.5895212806729628,0.0,never returns to hole
drone_16cm,aluminium,-14.0,False,0.5160049352424064,0.0,never returns to hole
drone_16cm,aluminium,-12.0,False,0.44242424953559045,0.0009656301240441452,exit miss > 0.35 mm
drone_16cm,aluminium,-10.0,False,0.3687865527800418,0.0037027912789444313,exit miss > 0.35 mm
drone_16cm,aluminium,-8.0,True,0.2950991812305131,0.01113071031460168,
drone_16cm,aluminium,-6.0,True,0.2213694774636347,0.02621572725538137,
drone_16cm,aluminium,-4.0,True,0.1476047896618566,0.04835692813685514,
drone_16cm,aluminium,-2.0,True,0.07381247090198288,0.06983416642594752,
drone_16cm,aluminium,0.0,True,5.038677835679632e-07,0.07893810993486497,
drone_16cm,aluminium,2.0,True,0.07382562699011462,0.06983200484889449,
drone_16cm,aluminium,4.0,True,0.1476566819133107,0.04834519048182411,
drone_16cm,aluminium,6.0,True,0.2214859208133395,0.02619434021460229,
drone_16cm,aluminium,8.0,True,0.29530597685100074,0.011109231233380534,
drone_16cm,aluminium,10.0,False,0.36910948258322435,0.0036888611337725975,exit miss > 0.35 mm
drone_16cm,aluminium,12.0,False,0.4428890706737037,0.00095936574531651,exit miss > 0.35 mm
drone_16cm,aluminium,14.0,False,0.5166373746187687,0.0,never returns to hole
drone_16cm,aluminium,16.0,False,0.5903470294573033,0.0,never returns to hole
drone_16cm,aluminium,18.0,False,0.6640106724886901,0.0,never returns to hole
drone_16cm,aluminium,20.0,False,0.7376209439947347,0.0,never returns to hole
drone_16cm,aluminium,22.0,False,0.8111704879565007,0.0,never returns to hole
drone_16cm,aluminium,24.0,False,0.8846519527687118,0.0,never returns to hole
drone_16cm,aluminium,26.0,False,0.9580579919552704,0.0,never returns to hole
drone_16cm,aluminium,28.0,False,1.0313812649018133,0.0,never returns to hole
drone_16cm,aluminium,30.0,False,1.104614437553742,0.0,never returns to hole
drone_16cm,invar,-30.0,True,0.056299178388897295,0.07350662766822236,
drone_16cm,invar,-28.0,True,0.05254619091812329,0.07418510232960518,
drone_16cm,invar,-26.0,True,0.04879315651287965,0.07482242287835093,
drone_16cm,invar,-24.0,True,0.04504007614022812,0.07541742347724963,
drone_16cm,invar,-22.0,True,0.041286950767674475,0.07596900939505631,
drone_16cm,invar,-20.0,True,0.03753378136340351,0.07647616036250839,
drone_16cm,invar,-18.0,True,0.03378056889402071,0.0769379337175455,
drone_16cm,invar,-16.0,True,0.030027314328275854,0.07735346732506038,
drone_16cm,invar,-14.0,True,0.026274018633887692,0.07772198226021802,
drone_16cm,invar,-12.0,True,0.022520682778198287,0.07804278524220244,
drone_16cm,invar,-10.0,True,0.018767307729605227,0.0783152708082796,
drone_16cm,invar,-8.0,True,0.015013894455496052,0.07853892321892966,
drone_16cm,invar,-6.0,True,0.01126044392473419,0.07871331808501539,
drone_16cm,invar,-4.0,True,0.0075069571062893106,0.07883812371043811,
drone_16cm,invar,-2.0,True,0.003753434976234123,0.07891310214381556,
drone_16cm,invar,0.0,True,5.038677835679632e-07,0.07893810993486497,
drone_16cm,invar,2.0,True,0.0037537114771894723,0.07891309859189527,
drone_16cm,invar,4.0,True,0.007507333765505466,0.078838114738641,
drone_16cm,invar,6.0,True,0.011260987516969714,0.07871329996917632,
drone_16cm,invar,8.0,True,0.015014671753873858,0.07853889040238594,
drone_16cm,invar,10.0,True,0.018768385508080635,0.07831521593703321,
drone_16cm,invar,12.0,True,0.022522127808814314,0.07804269921171399,
drone_16cm,invar,14.0,True,0.02627589768894129,0.07772185427299806,
drone_16cm,invar,16.0,True,0.03002969418005833,0.07735328495906321,
drone_16cm,invar,18.0,True,0.03378351631407844,0.07693768300487186,
drone_16cm,invar,20.0,True,0.037537363123452155,0.07647582587765679,
drone_16cm,invar,22.0,True,0.04129123364003806,0.07596857435231995,
drone_16cm,invar,24.0,True,0.04504512689530013,0.07541686983703771,
drone_16cm,invar,26.0,True,0.048799041921523775,0.0748217314606464,
drone_16cm,invar,28.0,True,0.05255297775083222,0.07418425293491027,
drone_16cm,invar,30.0,True,0.056306933412756915,0.07350559920523299,
