N,s,roc_a,roc_b,r_ring,k,n_exit,res_t,res_s,opl_est,ang_t,ang_s,off_z,w0,waist_frac,exit_miss,sku_a,sku_b,feasible,reason,opl_m,hole_clear,sep_margin,w_max,envelope_mm,throughput
14,5,200.0,250.0,57.76855629764108,23,322,7.494787941375591e-05,0.022389363254747607,33.47406002316189,0.03061654050373318,0.0199558444527317,-0.0001549378102475887,0.24813159928065748,0.8430668105053435,0.6739198137577139,CM254-100-M01,CM254-125-M01,False,no closure (miss 0.67),,,,,,
14,5,200.0,250.0,75.4471920406927,17,238,0.0021625406641252454,0.12447867000975243,32.943237766622794,0.016470356888001622,0.016719365156283583,0.0002793274999628151,0.26751947791907194,0.667024053333853,0.8599915367475308,CM254-100-M01,CM254-125-M01,False,no closure (miss 0.86),,,,,,
14,5,200.0,250.0,45.30565253620223,27,378,0.005693468836211579,0.030656985020188543,30.863215773386877,0.026224672953643467,0.038938170729829163,-0.001822980627514009,0.2004301847740399,0.6242664779870719,0.23115944125663096,CM254-100-M01,CM254-125-M01,False,miss=0.231 clear=0.31 sep=-0.46 env=127,30.844365011217423,0.30651450650182843,-0.4576823544697536,0.28565849930593423,126.61130507240446,0.6857867046561738
14,5,200.0,250.0,69.84510884854025,15,210,0.00032777477134082744,0.021977443459752166,26.406605242039163,0.06050105446452919,0.027952193360689534,0.004738101711699929,0.34058387076325963,0.6345517664227533,0.0004046644146959368,CM254-100-M01,CM254-125-M01,False,miss=0.000 clear=0.35 sep=-1.09 env=176,26.412246493593816,0.3510848178490722,-1.0935800885223368,0.6330347078645545,175.6902176970805,0.8113103927077341
14,5,250.0,500.0,70.27948084198076,29,406,0.004968262135841783,0.04316253172265938,55.61933444544538,0.019717151163042117,0.03210170273997434,-0.00021796932491942637,0.43833040357953335,0.6042845314133889,1.242803198723996,CM254-125-M01,CM254-250-M01,False,no closure (miss 1.24),,,,,,
14,5,250.0,500.0,76.10536368251076,27,378,0.005477046722555556,0.007564810660623422,51.85435605306392,0.016816980555679047,0.03611018166163905,0.0015759063603589074,0.20034030180883625,0.3348033113855515,0.43819001037279237,CM254-125-M01,CM254-250-M01,False,miss=0.438 clear=0.52 sep=-0.86 env=188,51.813572087019054,0.5240250085069815,-0.8558316629461027,0.46108256116719626,188.2107273650215,0.6857867046561738
14,5,250.0,500.0,58.34884865995913,33,462,0.002868556359503671,0.008762404340606267,48.57911100853625,0.019132764133407774,0.02853477933192869,-0.0012738675227352736,0.29817386671435775,0.572241214263262,4.150179534828076e-06,CM254-125-M01,CM254-250-M01,False,miss=0.000 clear=0.31 sep=-0.72 env=153,48.556480906569256,0.3092050026441169,-0.7207806461424763,0.3812495270173722,152.69769731991826,0.6305072317473175
14,5,250.0,500.0,57.33026174425643,31,434,0.005616980518004411,0.025117039661315843,44.84036882958807,0.020629575127054135,0.021870207394427604,0.000780790472797484,0.2751778830037825,0.5296652567444122,1.3410441233691742e-05,CM254-125-M01,CM254-250-M01,False,miss=0.000 clear=0.32 sep=-0.56 env=151,44.81829439323359,0.3181427998887343,-0.5559283834372667,0.3510944106121206,150.66052348851287,0.6484199999982735
14,5,250.0,500.0,53.35251943806784,25,350,0.00547189404787396,0.050676043371728596,33.65779528189739,0.029004633788966817,0.020977723493830938,0.0025346470110888496,0.21888086743461593,0.8742943587954979,0.00012710969293457997,CM254-125-M01,CM254-250-M01,False,miss=0.000 clear=0.52 sep=-0.60 env=143,33.63073182182526,0.5179848232459943,-0.603974042750681,0.3404061723880059,142.7050388761357,0.7052699677998009
14,5,250.0,500.0,67.97595813290862,19,266,0.00043747554146200684,0.0024970312365102387,32.58655748288884,0.0176825747352772,0.03566687744710183,0.00047821929866549506,0.20736061132457778,1.576431765459299,4.1233394423976576e-05,CM254-125-M01,CM254-250-M01,False,miss=0.000 clear=1.37 sep=-0.57 env=172,32.56023919711937,1.3670143586027004,-0.5704031214372691,0.4562031902102511,171.95191626581723,0.7671042341100777
14,5,250.0,500.0,51.59840515371846,23,322,0.0015060724393176628,0.04896332379057888,29.94745884941642,0.0292889010479852,0.021407412983398343,-0.00016363029182755513,0.3481174204141163,0.4958012684447428,1.7909966780503707e-05,CM254-125-M01,CM254-250-M01,False,miss=0.000 clear=0.30 sep=-0.25 env=139,29.924306894460774,0.3014472871723224,-0.2480903864041743,0.4357352991340732,139.19681030743692,0.7253067522353203
14,5,250.0,500.0,49.536370803453686,21,294,0.0039052871297062808,0.03245459097441561,26.248827804467233,0.029038526087618595,0.025524375716988963,0.0013123438483685346,0.34753329460397675,0.5596964630143184,2.1327843942441434e-05,CM254-125-M01,CM254-250-M01,False,miss=0.000 clear=0.37 sep=-0.76 env=135,26.22657695671638,0.3714761675284517,-0.7645735938402834,0.4276424980821023,135.07274160690736,0.7459127835533744
14,5,500.0,750.0,70.55172989722246,31,434,0.0035904856338628832,0.06518554369105267,55.158617484597066,0.008079952212071063,0.04174731744878887,-0.000816886529869703,0.31534896303389137,0.842551205429463,0.03987252375321614,CM254-250-M01,CM254-375-M01,False,miss=0.040 clear=0.32 sep=-0.69 env=177,55.152463779547475,0.3179606145793261,-0.6864195872859972,0.3614897923563637,177.10345979444492,0.6484199999982735
14,5,500.0,750.0,72.90747290036241,27,378,0.0002136705225783686,0.0435843110988241,50.79315167394337,0.04137064760766479,0.00937902343241884,0.0008239961651727282,0.4065718149572213,0.728394121552249,0.39938471251728835,CM254-250-M01,CM254-375-M01,False,miss=0.399 clear=0.30 sep=-0.65 env=182,49.64015191440605,0.30003027947041616,-0.6520164186083355,0.4874226999062816,181.81494580072481,0.6857867046561738
14,5,500.0,750.0,53.06884703229173,33,462,0.0038928340666526395,0.056517615263748766,43.214511721018035,0.029771275726044048,0.01828059895874854,-0.0015491406556665036,0.3994198080520919,0.5758607879657508,0.8968856997431419,CM254-250-M01,CM254-375-M01,False,no closure (miss 0.90),,,,,,
14,5,500.0,750.0,52.743549348884144,29,406,0.0009085398172157255,0.10997470634957729,38.611406361766534,0.04862670343536368,0.020523222808895063,-0.0002902420428315958,0.35046995158947447,0.5664906850744389,7.234586683689924e-05,CM254-250-M01,CM254-375-M01,False,miss=0.000 clear=1.52 sep=-0.23 env=141,38.57263832422424,1.5193901683633553,-0.22565935208350435,0.411692673145058,141.4870986977683,0.6668416716372577
14,5,500.0,750.0,63.285765001688986,23,322,0.000744667114750186,0.02663626382317652,36.726795492068945,0.02744403777861991,0.019497337218390313,-0.0009281373653467532,0.20049539738974237,0.6308349534664308,1.9745316363837608e-05,CM254-250-M01,CM254-375-M01,False,miss=0.000 clear=0.79 sep=-0.96 env=163,36.70225286349126,0.7900739904984764,-0.9586156390008577,0.5227641152162253,162.57153000337797,0.7253067522353203
14,5,500.0,750.0,52.28728530705956,25,350,0.0009541511988597762,0.1602104277919505,34.01349779094507,0.022439431739853438,0.018533903884774133,0.0006401192226834164,0.22434811168880164,0.5766728412392645,1.3480426257726672,CM254-250-M01,CM254-375-M01,False,no closure (miss 1.35),,,,,,
14,5,500.0,750.0,67.25092678673835,19,266,0.001320542978445971,0.06430795150814994,32.251036676482165,0.040754911867125154,0.00936052208641383,-0.00116423497760666,0.3273089141524168,0.8670374173074564,0.0002414076644664274,CM254-250-M01,CM254-375-M01,False,miss=0.000 clear=0.34 sep=-0.44 env=171,32.21635986692703,0.3445438486763941,-0.4392363719880552,0.3768667720992552,170.5018535734767,0.7671042341100777
14,5,500.0,750.0,57.41257858911405,21,294,0.0018313625660280053,0.1319975278791805,30.409638983706223,0.0212488324797446,0.011669708074766645,0.0014748448060264065,0.2951323585553362,0.6796584730184507,0.28322517556146287,CM254-250-M01,CM254-375-M01,False,miss=0.283 clear=0.30 sep=-0.59 env=151,30.397058145946303,0.30025329662923195,-0.5906006525232347,0.33792659613078163,150.8251571782281,0.7459127835533744
14,5,750.0,1000.0,68.07153571681113,31,434,3.1303312391983695e-05,0.08153599861682359,53.222284024706035,0.015996429579889816,0.01518968655460707,0.000665959911124906,0.3752354468802277,0.7296057944131584,0.24452625095202032,CM254-375-M01,CM254-500-M01,False,miss=0.245 clear=0.30 sep=-0.74 env=172,53.213250930298656,0.3000098763657615,-0.7440955413962,0.4001549316625295,172.14307143362225,0.6484199999982735
14,5,750.0,1000.0,60.26532941435023,33,462,0.00013115907757388356,0.003502336059421296,50.170841895832154,0.021634379410215003,0.03309401954408919,-0.0012478402486605575,0.43142943010939466,0.46721678285016827,9.282296232632618e-06,CM254-375-M01,CM254-500-M01,False,miss=0.000 clear=0.31 sep=-0.87 env=157,50.15118314620453,0.31424643940083774,-0.8731929455164373,0.4613391733755465,156.53065882870044,0.6305072317473175
14,5,750.0,1000.0,68.43997401001705,27,378,1.1808301936255816e-05,0.03471519088814823,46.60827381430499,0.009839353534030981,0.042187470892458175,-0.0034153784793133487,0.3383448991023189,0.6419237909608584,1.666666366403979e-05,CM254-375-M01,CM254-500-M01,False,miss=0.000 clear=0.75 sep=-0.58 env=173,46.59533682699783,0.7476606031880952,-0.5773473708689394,0.39420483224293884,172.8799480200341,0.6857867046561738
