input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,polished,envelope_mm
0.032152834213952104,0.2390220776064917,1.0,one_inch,CM254-050-M01,100.0,13,6,70.80000000000067,143,sin,0.0,-0.031830501006306015,D180,180.0,18.0,False,exit miss > 0.35 mm; spots overlap,20.101122724848093,143,0.004078118702349827,0.3688928417882734,2.0523986881151277,4.043365029465639,-0.23733252517662107,0.6315110887469028,0.4746838961427449,0.284777290903262,16.79707402964397,-0.41675853657819384,-0.3945766513266653,7.053566021135518,0.0,False,177.60000000000133
0.08572721076455175,0.2,1.025967058590009,one_inch,CM254-050-M01,100.0,12,5,60.025733194698304,156,sin,-0.06974797735746807,0.027852052160370018,D180,180.0,18.0,False,exit miss > 0.35 mm,18.089797505868116,156,0.000764187317409666,0.3949054205247503,2.769531553740927,1.0094625216051494,0.2903960555687357,0.8403471960683001,0.3378812471242655,0.2540101127657585,25.667620292575172,-0.202101879451152,-0.11851172615210892,15.30539426649162,0.0,True,156.0514663893966
0.055135346009627516,0.22899308441651925,1.0,one_inch,CM254-050-M01,100.0,15,7,68.50000000000063,195,sin,0.0,0.03913709710160513,D180,180.0,18.0,False,exit miss > 0.35 mm; spots overlap,26.56861988855198,195,0.00011645192159152796,0.4855498557305543,2.7625595962890204,1.2639633169802629,-0.032832472295950654,0.8206435010217711,0.4939927543173446,0.27743472328758567,22.69011062356223,-0.3708006833498443,-0.354265779249626,6.365226851528562,0.0,False,173.00000000000125
0.0,0.21887463698049645,1.0,one_inch,CM254-050-M01,100.0,11,4,71.75000000000067,143,cos,7.661751256817244,0.03775135620648251,D180,180.0,18.0,False,never returns to hole,0.0,0,0.0,0.691177130134693,-inf,-inf,-inf,0.0,0.0,0.26935595290946024,0.0,,,,0.0,False,
0.0,0.43886627613084284,1.0,one_inch,CM254-1000-M01,2000.0,15,7,69.32000000000065,135,cos,2.309012055936655,-0.006109108974028614,D180,180.0,18.0,False,never returns to hole,0.0,0,0.0,0.6841117794342093,-inf,-inf,-inf,0.0,0.0,0.446591036623496,0.0,,,,0.0,False,
0.0,0.2484495595956583,1.0,one_inch,CM254-150-M01,300.0,16,5,68.80000000000062,176,cos,5.2722853178415665,0.038819584956567406,D180,180.0,18.0,False,never returns to hole,0.0,0,0.0,2.7027300330523314,-inf,-inf,-inf,0.0,0.0,0.2764453100963919,0.0,,,,0.0,False,
0.07584666534219044,0.2,1.0,one_inch,CM254-050-M01,100.0,13,6,57.660000000000466,195,sin,0.0,0.05404121172288303,D180,180.0,18.0,False,never returns to hole,0.0,0,0.0,0.5982204897656981,-inf,-inf,-inf,0.0,0.0,0.25040787430404404,0.0,,,,0.0,False,
0.06302923679942211,0.2139314139247605,1.0,one_inch,CM254-050-M01,100.0,15,7,64.17000000000057,225,sin,0.0,0.04481938379673071,D180,180.0,18.0,False,never returns to hole,0.0,0,0.0,0.7914471060347053,-inf,-inf,-inf,0.0,0.0,0.2653932355547866,0.0,,,,0.0,False,
0.04172099501703138,0.25326591308400515,0.49325775290477847,one_inch,CM254-100-M01,200.0,14,5,71.96226203624394,154,sin,0.2654305604012063,-0.016758356721726042,D180,180.0,18.0,False,never returns to hole,0.0,0,0.0,0.5956055281087783,-inf,-inf,-inf,0.0,0.0,0.2618460295646992,0.0,,,,0.0,True,
0.041962817204757155,0.3036055857605179,1.5,one_inch,CM254-150-M01,300.0,16,5,68.93215167881203,176,sin,0.08252328130325826,-0.030494585890397656,D180,180.0,18.0,False,never returns to hole,0.0,0,0.0,1.4296743273025392,-inf,-inf,-inf,0.0,0.0,0.3382348774767629,0.0,,,,0.0,True,
