family,sku,roc,N,chord_skip,R_ring,chord_mm,aoi_deg,n_exit,spots_per_mirror,mode_s,amp_ratio,d_norm,extent_norm,A_req_mm,w_typ_mm,th_t,th_s,opl_est_m,phase_err_t,phase_err_s,phase_err_res,throughput_est,envelope_mm
one_inch,CM254-050-M01,100.0,13,4,72.25,118.92116862163334,34.61538461538462,65,5,cos,1.0,0.31500261904201615,1.388596025321848,2.9669286889064215,0.31729515375820894,2.03197058762965,1.5494967472155285,7.729875960406167,0.13119674515592905,0.18632365413597896,0.1067288644681796,0.2841935566162781,180.5
one_inch,CM254-050-M01,100.0,13,4,72.25,118.92116862163334,34.61538461538462,65,5,sin,1.4,0.2898710472227135,1.7027033730859045,3.224158868127158,0.31729515375820894,2.03197058762965,1.5494967472155285,7.729875960406167,0.13119674515592905,0.18632365413597896,0.1067288644681796,0.2841935566162781,180.5
one_inch,CM254-050-M01,100.0,13,4,72.0,118.50967668868651,34.61538461538462,65,5,cos,1.0,0.31500261904201615,1.388596025321848,2.9606757248699305,0.31631030373407387,2.02639500019072,1.54610933797167,7.703128984764623,0.23121643837453476,0.03385794671482856,0.10681447445347317,0.2841935566162781,180.0
one_inch,CM254-050-M01,100.0,13,4,72.0,118.50967668868651,34.61538461538462,65,5,sin,1.4,0.2898710472227135,1.7027033730859045,3.217363777457903,0.31631030373407387,2.02639500019072,1.54610933797167,7.703128984764623,0.23121643837453476,0.03385794671482856,0.10681447445347317,0.2841935566162781,180.0
one_inch,CM254-050-M01,100.0,13,3,63.0,83.5534549383402,48.46153846153846,65,5,sin,1.4,0.32950177761986105,1.6428668363323642,2.5252014180047526,0.2660291780403799,1.8338185297033656,1.1085742479930267,5.430974570992113,0.18231640569337415,0.19930491301849784,0.11281596280694786,0.2841935566162781,162.0
one_inch,CM254-050-M01,100.0,13,3,63.25,83.88501626746059,48.46153846153846,65,5,sin,1.4,0.32950177761986105,1.6428668363323642,2.5274159849513187,0.26639402991315575,1.839000249114672,1.111029175507873,5.452526057384938,0.15449535604154718,0.03973462455350685,0.11283313962989111,0.2841935566162781,162.5
one_inch,CM254-250-M01,500.0,13,5,55.25,103.31929481673833,20.769230769230763,65,5,sin,1.0,0.5884712518261319,1.3798277467146534,1.7472663750956028,0.36410801551310856,0.6777269288522859,0.6320982418286356,6.715754163087992,0.06995322514148583,0.2456812221940119,0.18077877313812982,0.2841935566162781,146.5
one_inch,CM254-250-M01,500.0,13,5,55.5,103.78680293808105,20.769230769230763,65,5,sin,1.0,0.5884712518261319,1.3798277467146534,1.7488137688016527,0.3645633138687421,0.6793201881366188,0.6335764353879724,6.746142190975268,0.17351507862312232,0.34176380355089364,0.1807831947663578,0.2841935566162781,147.0
one_inch,CM254-075-M01,150.0,13,4,76.75,126.32802341467625,34.61538461538462,65,5,sin,1.4,0.5120657881117566,1.6650083386889134,1.8248531582123764,0.3172224353241243,1.5941317779310835,1.258868678415536,8.211321521953955,0.05399200294274564,0.14505510367522945,0.1834677111661049,0.2841935566162781,189.5
one_inch,CM254-075-M01,150.0,13,4,77.0,126.73951534762308,34.61538461538462,65,5,sin,1.4,0.5120657881117566,1.6650083386889134,1.8263969854974127,0.31761770589183463,1.5974661549671767,1.2612399197458473,8.238068497595501,0.16274250440331528,0.29918579014545443,0.18350042835316416,0.2841935566162781,190.0
