design,item,x_mm,y_mm,z_mm,nx,ny,nz,sagx,sagy,sagz,roc_mm,aperture_r_mm,hole_r_mm
D180_22m,mirror_4,-15.09773383962839,66.14749394245968,0.0,0.22252093395631434,-0.9749279121818236,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_5,-42.302910170392465,53.04617152138038,0.0,0.6234898018587335,-0.7818314824680299,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_6,-61.12947633076407,29.438404261891563,0.0,0.9009688679024191,-0.4338837391175583,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_7,-67.8486,8.309057081662912e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_8,-61.12947633076408,-29.43840426189155,0.0,0.9009688679024191,0.433883739117558,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_9,-42.30291017039248,-53.046171521380366,0.0,0.6234898018587337,0.7818314824680297,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_10,-15.097733839628408,-66.14749394245968,0.0,0.2225209339563146,0.9749279121818236,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_11,15.097733839628322,-66.1474939424597,0.0,-0.22252093395631334,0.9749279121818238,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_12,42.30291017039246,-53.04617152138038,0.0,-0.6234898018587334,0.7818314824680299,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_13,61.12947633076409,-29.438404261891513,0.0,-0.9009688679024194,0.4338837391175575,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,launch_ray,-21.454860999892176,-48.455663602766464,1.7609119822910042,0.8774778059767598,0.4761155828591547,0.057850253040927356,0.2,0.001654,182.0,22.25111690725569,,1.3
