run_id,environment,design,perturbation,pass_count,path_m,edge_clear_mm,hole_clear_mm,exit_clear_mm,result
D180_15m_sparse-hybrid-Mdtan+,drone/hybrid,D180_15m_sparse,all mirrors dtan=+1max,112,15.538193005438586,6.05040605107814,1.5715800292337014,0.7737177556952923,PASS
D180_15m_sparse-hybrid-Mdtan-,drone/hybrid,D180_15m_sparse,all mirrors dtan=-1max,112,15.538243053449802,6.416837562594253,1.5056662368822842,0.7747020813080941,PASS
D180_15m_sparse-hybrid-Mdsag+,drone/hybrid,D180_15m_sparse,all mirrors dsag=+1max,112,15.538234466217906,5.971004837808345,1.9207666567200696,0.9000656384546335,PASS
D180_15m_sparse-hybrid-Mdsag-,drone/hybrid,D180_15m_sparse,all mirrors dsag=-1max,112,15.538227181235957,6.4921781190051835,1.1659562397637468,0.9015356903826337,PASS
D180_15m_sparse-hybrid-Mdax+,drone/hybrid,D180_15m_sparse,all mirrors dax=+1max,112,15.498415180037055,6.123621385448218,1.2125292503241905,-0.027057926297846313,FAIL(clearance)
D180_15m_sparse-hybrid-Mdax-,drone/hybrid,D180_15m_sparse,all mirrors dax=-1max,112,15.578076953039266,6.121278141713013,1.4859526285681577,-0.01035906782233309,FAIL(clearance)
D180_15m_sparse-hybrid-Mtiltt+,drone/hybrid,D180_15m_sparse,all mirrors tiltt=+1max,112,15.538232383788085,6.300503357980434,1.5135248527218503,1.022777352972343,PASS
D180_15m_sparse-hybrid-Mtiltt-,drone/hybrid,D180_15m_sparse,all mirrors tiltt=-1max,112,15.538235742350484,6.263770288861792,1.5889755418471108,1.0227343072056438,PASS
D180_15m_sparse-hybrid-Mtilts+,drone/hybrid,D180_15m_sparse,all mirrors tilts=+1max,112,15.538222783507925,6.233244933592256,1.6075804427106193,0.9381305644553801,PASS
D180_15m_sparse-hybrid-Mtilts-,drone/hybrid,D180_15m_sparse,all mirrors tilts=-1max,112,15.538234400037767,6.3269002435350945,1.611143508492059,0.9383750009368033,PASS
D180_15m_sparse-hybrid-Lofft+,drone/hybrid,D180_15m_sparse,launch input_offset_t=+1max,112,15.538271868126415,6.385352404191901,1.5273804687618213,0.8563192749511873,PASS
D180_15m_sparse-hybrid-Lofft-,drone/hybrid,D180_15m_sparse,launch input_offset_t=-1max,112,15.538189177753473,6.158522058098952,1.568408758987356,0.8580765958635383,PASS
D180_15m_sparse-hybrid-Loffz+,drone/hybrid,D180_15m_sparse,launch input_offset_z=+1max,112,15.538228138631384,6.293055892974512,1.655306588019993,0.8555217216809065,PASS
D180_15m_sparse-hybrid-Loffz-,drone/hybrid,D180_15m_sparse,launch input_offset_z=-1max,112,15.538232555430984,6.313768179965295,1.5463848286172879,0.8556318367132678,PASS
D180_15m_sparse-hybrid-Langt+,drone/hybrid,D180_15m_sparse,launch input_angle=+1max,112,15.538245019542266,6.368224973198396,1.6029721238639183,1.0222026712762438,PASS
D180_15m_sparse-hybrid-Langt-,drone/hybrid,D180_15m_sparse,launch input_angle=-1max,112,15.53821597824447,6.239679637161216,1.644545211439461,1.022248706716235,PASS
D180_15m_sparse-hybrid-Langs+,drone/hybrid,D180_15m_sparse,launch input_angle_sag=+1max,112,15.538231096381953,6.2611377757068025,1.6861542247175,1.0224910856809242,PASS
D180_15m_sparse-hybrid-Langs-,drone/hybrid,D180_15m_sparse,launch input_angle_sag=-1max,112,15.53822991243934,6.346302507674243,1.5616958897074102,1.0224312753782594,PASS
D130_9m_halfinch-NOM,nominal,D130_9m_halfinch,none,98,9.280286551311377,0.42232334662905463,1.0795151684687772,0.49293978767938196,PASS
D130_9m_halfinch-al_flexure-Mdtan+,drone/al_flexure,D130_9m_halfinch,all mirrors dtan=+1max,98,9.280371892142329,0.46044493684987015,0.9184177318814591,0.442310968867154,PASS
D130_9m_halfinch-al_flexure-Mdtan-,drone/al_flexure,D130_9m_halfinch,all mirrors dtan=-1max,98,9.280191879951486,0.3190209878387012,1.0871505177706942,0.47018005968162874,PASS
